RecordID,AQI,PM10,PM2_5,NO2,SO2,O3,Temperature,Humidity,WindSpeed,RespiratoryCases,CardiovascularCases,HospitalAdmissions,HealthImpactScore
1,187.27005942368100,295.85303918510800,13.038560436938200,6.639263013112350,66.16114965083920,54.62427997507650,5.150335038375800,84.42434365437400,6.13775544737303,7,5,1,97.24404109007630
2,475.3571532049580,246.25470277893900,9.984497132675820,16.318326077385400,90.49952259723250,169.62172753232100,1.5433782900586400,46.851414776666800,4.521421553573570,10,2,0,100.0
3,365.99697090570300,84.44319073527580,23.111339767267800,96.31781102157560,17.875850347106400,9.006793603406170,1.169483416821430,17.806977221315300,11.157383587095600,13,3,0,100.0
4,299.3292420985180,21.020608716356800,14.27340277787600,81.2344025822972,48.32361562451520,93.16103260585840,21.925276294763400,99.47337305761990,15.302499623190100,,8,1,100.0
5,78.00932022121830,16.98766721326740,152.11162310398500,121.23546115635400,90.86616698450510,241.79513844849800,9.217516717207470,24.906836874391500,14.534733378806300,9,0,1,95.18264321339890
6,77.99726016810130,36.11344485166020,97.11324045668580,87.76956194227280,32.26120614414180,136.99971412300200,-1.441781262084690,32.63590353330900,4.675127017944150,13,5,2,70.36149125287520
7,29.04180608409970,174.2305750843270,68.57841826979590,186.81536985429700,96.76641981464210,44.98239668275040,34.37859224938800,24.679305048235600,6.610047005392020,10,2,2,65.81994866931960
8,433.0880728874680,278.62902636164800,83.67378202640140,106.94794308270200,9.707749047365740,131.5660144464940,33.70743439688970,40.37315661808710,17.376643660007500,11,8,1,100.0
9,300.5575058716040,149.02302840179500,185.78934711452500,138.74521229248800,90.26711702750370,59.40987763866850,33.12314617661180,36.03521203537050,14.464874890328200,8,6,4,100.0
10,354.03628889802300,252.88364473685900,182.15036254762900,179.2970545284990,44.52121220658590,117.95743735918900,9.537247112889640,64.09920236943110,14.253878107051200,13,5,1,100.0
11,10.292247147901200,133.76598595794200,143.13529602451500,29.374375166641500,7.374416514116070,146.350041824353,-7.1508773244773800,99.6814012977356,5.37810152663782,9,7,4,63.12113325976490
